"site","latitude","longitude"
"K3H005",-33.94527,22.61444
"K3H006",-33.97093,22.44254
"K3H007",-33.97277,22.44083
"K3H008",-33.9726,22.43865
"K3H011",-33.98166,22.65138
"K4H001",-33.97982,22.7995
"K4H002",-33.88083,22.83777
"K4H003",-33.9125,22.70777
"K5H001",-33.99121,23.04201
"K5H002",-33.89111,23.02944
"K5H003",-33.99833,23.00305
"K6H001",-33.80361,23.13527
"K6H002",-33.93843,23.36729
"K6H019",-33.94583,23.3675
"K7H001",-33.95555,23.63861
"K7H003",-33.93219,23.49999
"K8H001",-33.98194,24.02097
"K8H002",-33.98136,24.05013
"K8H005",-34.09663,24.43911
"K8H006",-34.03197,24.19552
"L1H001",-32.23796,23.05063
