gauge_id,gauge_name,river,longitude,latitude,area
2220,Črna,Meža,14.8532169092,46.4707324901,95.17
2230,Podklanc,Meža,15.0168297929,46.5680649655,309.54
2240,Podklanc I,Meža,15.0191787702,46.5698641459,310.54
2250,Otiški Vrh I,Meža,15.0307559187,46.5780945535,552.6
2260,Otiški Vrh,Meža,15.0310563228,46.5785893477,
2270,Topla,Topla,14.8083116966,46.4674897851,13.6
2280,Pristava,Bistra,14.8358078393,46.4611440408,27.37
2290,Javorje,Javorski potok,14.8830833941,46.4564332368,26.67
2300,Črna,Javorski potok,14.8563571882,46.4700796298,32.3
2310,Žerjav,Jazbina,14.8821112282,46.4845956853,24.13
2311,Žerjav I,Jazbina,14.8951372422,46.4847883269,24.1
2320,Mežica,Šumec,14.8409770265,46.5192776234,1.65
2330,Poljana,Jamniški potok,14.8986656158,46.5488560782,23.43
2340,Mislinja,Mislinja,15.2489679002,46.4634203621,27.71
2350,Šentilj,Mislinja,15.1890150386,46.4476088131,42.62
2360,Dovže,Mislinja,15.1594810506,46.4530525715,71.6
2370,Dovže I,Mislinja,15.155971623,46.4550369564,72.59
2372,Dovže II,Mislinja,15.1523055271,46.4569584561,72.76
2380,Slovenj Gradec,Mislinja,15.0899437974,46.5220521467,184.53
2390,Otiški Vrh I,Mislinja,15.0420743172,46.567851518,231.56
2400,Otiški Vrh,Mislinja,15.0378359162,46.5702194067,233.2
2410,Podgorje,Suhodolnica,15.0920863993,46.4785907836,43.65
2418,Stari Trg,Suhodolnica,15.0729660851,46.4983099305,56.92
2420,Stari Trg I,Suhodolnica,15.0773531568,46.5047315177,59.45
2430,Muta,Bistrica,15.1682392052,46.6123462379,146.55
2432,Muta I,Bistrica,15.168566159,46.6125167127,82.06
2440,Hudi Kot,Vuhredščica,15.2562430005,46.5430353403,17.06
2450,Orlica,Vuhredščica,15.2396131606,46.5867105225,44.47
2460,Remšnik,Brezniški potok,15.323095506,46.6233957878,7.9
2470,Lehen,Velka,15.3277995006,46.5588687322,46.85
2480,Brezni Vrh,Potočnikov potok,15.3345949998,46.6245324332,13.17
2490,Gradišče,Črmenica,15.4310564274,46.6377961463,9.16
2500,Ožbalt,Črmenica,15.4082358235,46.5874927616,27.58
2510,Pesek,Radoljna,15.3388935661,46.4760562818,4.74
2520,Lovrenc na Pohorju,Radoljna,15.3742387229,46.521205386,25.66
2525,Puščava,Radoljna,15.4282376451,46.5586268149,74.13
