gauge_id,station_name,river,latitude,longitude,altitude,area,country,source,provider,vertical_datum
K09_016,Linkhout/Schuif Begijnebroekstr,WB Schulensbroek,50.9691413894139,5.16408662936721,,,Belgium,Flemish Environment Agency - VMM,vmm,
K09_017,Webbekom/Pompgemaal,Leugebeek,50.9748264600619,5.07339621212117,,,Belgium,Flemish Environment Agency - VMM,vmm,
K09_020,Hoeleden/Stuw vistrap,Velpe,50.8752189603263,4.98936334020924,,,Belgium,Flemish Environment Agency - VMM,vmm,
K09_021,Hoeleden/Stuw wachtbekken,Velpe,50.8895678250363,5.02061385827905,,,Belgium,Flemish Environment Agency - VMM,vmm,
K09_022,Kersbeek-Miskom/Stuw Arnautsmolen,Velpe,50.8958393646288,5.03242249624245,,,Belgium,Flemish Environment Agency - VMM,vmm,
K09_023,Halen/Stuw wachtbekken,Velpe,50.9420794066075,5.10955738566857,,,Belgium,Flemish Environment Agency - VMM,vmm,
K09_033,Diest/Oude Demer,Oude Demer,50.9891797638769,5.06028063898467,,,Belgium,Flemish Environment Agency - VMM,vmm,
K09_035,Diest/Schuif Zichemsepoort,Oude Demer,50.9851347114684,5.0463493210852,,,Belgium,Flemish Environment Agency - VMM,vmm,
K09_036,Diest/Uitlaat,Oude Demer,50.9899150004253,5.0324849760256,,,Belgium,Flemish Environment Agency - VMM,vmm,
K09_043,Stevoort/Stuw wachtbekken,Herk,50.9159518901616,5.25644720875305,,,Belgium,Flemish Environment Agency - VMM,vmm,
K09_044,Stevoort/Stuw wachtbekken,Kleine Herk,50.9174045167428,5.26049945844644,,,Belgium,Flemish Environment Agency - VMM,vmm,
K09_045,Stevoort/Stuw Elsaertmolen,Herk,50.9227261919693,5.23046142577386,,,Belgium,Flemish Environment Agency - VMM,vmm,
K09_051,Tienen/Stuw Getelaan,Grote Gete,50.7991908707444,4.92896501591358,,,Belgium,Flemish Environment Agency - VMM,vmm,
K09_052,Tienen/Krooshekken Getelaan,Grote Gete,50.7997409516918,4.92954892562024,,,Belgium,Flemish Environment Agency - VMM,vmm,
